,Protein,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Selenium,Vitamin A,Vitamin C,Thiamin,Riboflavin,Niacin,Folate,Choline,Vitamin E,Cholesterol,Pantothenic acid,Manganese,Biotin
almond,41.34,20.23076923076923,22.666666666666668,63.33333333333333,40.32,15.76595744680851,10.08695652173913,28.72727272727273,107.66666666666667,1.4545454545454546,0.0,0.0,7.833333333333334,71.76923076923077,24.2875,10.5,9.418181818181818,0.0,0.0,0.0,0.0,0.0
amaretto,0.0,0.0,0.0,0.0,0.0,0.0,2.9130434782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anchovy,57.78,17.846153846153847,25.722222222222225,16.428571428571427,20.16,11.574468085106384,159.47826086956522,22.18181818181818,37.66666666666667,123.8181818181818,1.3333333333333335,0.0,6.5,27.923076923076923,124.39375,3.25,15.454545454545453,0.0,28.333333333333332,0.0,0.0,0.0
anise,35.2,49.69230769230769,205.55555555555554,40.476190476190474,35.199999999999996,30.638297872340424,0.6956521739130435,48.18181818181818,101.11111111111111,9.090909090909092,1.7777777777777777,23.333333333333332,28.33333333333334,22.307692307692307,19.125,2.5,0.0,0.0,0.0,15.940000000000001,100.0,0.0
apple,0.0,0.0,1.277777777777778,0.0,0.0,2.3404255319148937,0.0,0.0,0.0,0.0,7.222222222222221,3.4444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apricot,0.0,0.0,0.0,0.0,0.0,1.5106382978723405,0.26086956521739135,0.0,0.0,0.0,40.88888888888889,19.555555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artichoke,5.78,1.6153846153846154,3.3888888888888884,10.0,5.84,6.085106382978724,2.608695652173913,3.6363636363636367,14.11111111111111,0.36363636363636365,0.1111111111111111,8.222222222222223,4.166666666666667,6.846153846153847,6.937500000000001,22.25,6.254545454545454,0.0,0.0,0.0,0.0,0.0
arugula,5.64,12.461538461538462,8.222222222222223,0.0,0.0,7.787234042553191,1.2173913043478262,0.0,0.0,0.0,13.333333333333334,16.444444444444446,0.0,0.0,0.0,14.249999999999998,0.0,0.0,0.0,0.0,0.0,0.0
asparagus,4.7,1.8461538461538463,13.055555555555557,0.0,0.0,4.297872340425532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avocado,3.8,2.6153846153846154,1.9444444444444444,1.6666666666666667,2.48,1.2340425531914894,37.69565217391304,2.272727272727273,1.1111111111111112,2.909090909090909,1.1111111111111112,0.2222222222222222,1.6666666666666667,3.8461538461538463,0.8750000000000001,1.0,0.6545454545454545,0.0,13.333333333333334,0.0,0.0,0.0
bacon,14.279999999999998,0.0,0.0,0.0,0.0,0.0,34.17391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.666666666666668,0.0,0.0,0.0
banana,25.0,9.615384615384617,6.222222222222222,0.0,0.0,0.0,25.82608695652174,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barley,4.4,0.8461538461538461,7.111111111111111,5.0,4.24,1.9148936170212765,8.652173913043478,7.1818181818181825,11.222222222222221,15.090909090909092,2.666666666666667,0.0,6.666666666666667,4.615384615384615,12.4375,4.0,2.4363636363636365,0.0,1.3333333333333335,0.0,0.0,0.0
basil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beef,33.6,12.230769230769232,20.666666666666668,0.0,10.639999999999999,13.170212765957448,14.217391304347826,60.36363636363637,0.0,0.0,0.0,0.0,83.33333333333334,17.384615384615383,66.25,17.75,0.0,0.0,0.0,0.0,0.0,0.0
beet,1.6,0.8461538461538461,2.2777777777777777,3.571428571428571,1.3599999999999999,2.4468085106382977,6.478260869565218,2.3636363636363638,12.88888888888889,1.8181818181818181,0.2222222222222222,2.5555555555555554,0.8333333333333334,3.692307692307692,1.56875,6.75,2.727272727272727,0.0,0.0,0.0,0.0,0.0
bell pepper,1.43,0.576923076923077,1.0333333333333332,2.142857142857143,1.344,3.4680851063829787,0.0,1.1454545454545455,6.4222222222222225,0.0,0.0,110.55555555555556,3.2583333333333337,6.8307692307692305,3.975,5.55,0.0,0.0,0.0,0.0,4.343478260869565,0.0
berry,1.52,1.3076923076923077,3.055555555555556,3.3333333333333335,1.6,2.6382978723404253,0.043478260869565216,1.5454545454545454,7.111111111111111,0.7272727272727273,0.33333333333333337,19.333333333333332,2.416666666666667,3.0769230769230766,4.356249999999999,5.0,1.4363636363636365,0.0,0.0,0.0,0.0,0.0
blackberry,1.16,0.15384615384615385,233.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.88888888888889,8.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blue cheese,42.8,41.23076923076923,0.0,0.0,0.0,0.0,59.130434782608695,0.0,0.0,0.0,118.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
blueberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bok choy,2.04,4.7615384615384615,2.438888888888889,3.2380952380952377,2.44,4.851063829787234,0.6217391304347827,2.490909090909091,3.0666666666666664,0.0,0.0,33.666666666666664,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,8.521739130434785,0.0
bran,19.2,7.307692307692308,21.944444444444443,10.476190476190476,9.76,3.404255319148936,19.91304347826087,9.545454545454547,24.0,57.81818181818183,0.0,0.0,38.583333333333336,23.846153846153843,27.925,42.75,4.818181818181818,0.0,0.0,0.0,0.0,0.0
bread,7.139999999999999,0.0,0.0,0.0,0.0,0.0,15.391304347826088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brie,35.8,26923.076923076922,19.833333333333332,0.0,0.0,0.0,31.043478260869566,0.0,0.0,0.0,99.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.66666666666667,0.0,0.0,0.0
